Job Titles,Department,Annual Salary
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
COOLING PLANT INSPECTOR,DEPT OF BUILDINGS,110240.04
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,63000
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW,147660
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW,147660
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
COMMANDER-PARAMEDIC,FIRE DEPARTMENT,164916
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,114282
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW,117084
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,84522
ASST CORPORATION COUNSEL SENIOR,DEPARTMENT OF LAW,140976
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,97260
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
ADMINISTRATIVE ASST II,DEPT OF ADMINISTRATIVE HEARING,47532
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST),DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,93264
LEGISLATIVE AIDE,CITY COUNCIL,97992
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LEGISLATIVE AIDE,CITY COUNCIL,60000
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
DIR OF HUMAN RIGHTS COMPLIANCE,COMMISSION ON HUMAN RELATIONS,89076
COOLING PLANT INSPECTOR,DEPT OF BUILDINGS,110240.04
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,117690
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,58560
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,82092
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CITY PLANNER V,DEPARTMENT OF PLANNING AND DEVELOPMENT,75852
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LEGISLATIVE AIDE,CITY COUNCIL,37008
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,110178
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
HELP DESK SUPERVISOR - EXCLUDED,CHICAGO PUBLIC LIBRARY,103920
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,111966
PROJECT MANAGER,DEPARTMENT OF AVIATION,106668
COORDINATING ENGINEER I,CHICAGO DEPT OF TRANSPORTATION,112128
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASGND AS MARINE OFFICER),DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,88896
LEGISLATIVE AIDE,CITY COUNCIL,34008
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASGND AS MARINE OFFICER),DEPARTMENT OF POLICE,110178
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,108822
STAFF ASSISTANT - EXCLUDED,DEPARTMENT OF PLANNING AND DEVELOPMENT,55512
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE,48420
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,61572
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,122652
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
PARAMEDIC,FIRE DEPARTMENT,76122
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SUPERVISING INVESTIGATOR-COPA,COPA,106152
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CITY PLANNER V,DEPARTMENT OF PLANNING AND DEVELOPMENT,81552
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LEGISLATIVE AIDE,CITY COUNCIL,37992
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,101880
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER (ASGND AS MARINE OFFICER),DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,64272
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
ADMINISTRATIVE ASST II,DEPARTMENT OF AVIATION,47532
POLICE OFFICER,DEPARTMENT OF POLICE,111966
COORD OF ECON DEV I - PLNG & DEV,DEPARTMENT OF PLANNING AND DEVELOPMENT,73332
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
PROJECTS ADMINISTRATOR,BUS AFFAIRS AND CONSUMER PROT,86580
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,117690
MANAGER OF 311 OPERATIONS,OFFICE OF EMERGENCY MANAGEMENT,103920
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
PROJECT COORD,DEPARTMENT OF PLANNING AND DEVELOPMENT,75996
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
PROJECT COORD,DEPARTMENT OF PLANNING AND DEVELOPMENT,90444
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,104934
EXEC ADMINISTRATIVE ASST II,DEPT OF HOUSING,75996
PROJECT MANAGER,DEPARTMENT OF AVIATION,106668
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,114282
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
DIR OF HOMELESS PREVENTION-POLICY & PLANNING,FAMILY AND SUPPORT SERVICES,114684
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,110178
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
